ticker,name,price,currency,price_eur,mcap_eur_b,pe,fwd_pe,pb,div_yield,fcf_yield,debt_equity,num_analysts,sector,dist_high,h52,l52
PAYX,"Paychex, Inc.",98.3321,USD,82.65796029257923,29.657306040173115,22.236425,16.628965,9.092886,4.36,5.831022972631274,1.2981399999999998,15,Technology,-39.01507070205905,161.24,94.9
CUBE,CubeSmart,38.195,USD,32.1067158473689,7.3598429355768396,24.641935,26.65034,3.1307378,5.51,5.760915343139353,1.2239,15,Real Estate,-13.44890097439384,44.13,34.24
DLB,Dolby Laboratories,67.88,USD,57.05992595154866,5.451494538832146,27.48178,14.65037,2.500184,2.02,5.6646611977478525,0.015609999999999999,4,Industrials,-20.337988499002464,85.21,60.14
MAA,Mid-America Apartment Communit,136.54,USD,114.77551987955884,13.775768444969913,36.121693,35.100254,2.8181047,4.49,5.65995255851299,0.93305,24,Real Estate,-21.248125504671822,173.38,125.75
SAIC,Science Applications Internati,91.41,USD,76.83924324147117,3.536295884464578,11.689259,9.566799,2.720536,1.51,5.630669239280669,1.75,9,Technology,-26.347594875513657,124.11,84.16
MRSH,Marsh,173.26,USD,145.6423507714396,71.35159822347603,20.552786,15.283309,5.563369,2.05,5.573194366243944,1.40052,20,Financial Services,-30.13709677419355,248.0,170.78
EPAM,"EPAM Systems, Inc.",184.44,USD,155.04025843405472,8.635263508336442,28.158777,14.747849,2.7329304,0,5.536592086440441,0.04165,17,Technology,-31.434944237918216,269.0,138.15
PAYC,"Paycom Software, Inc.",121.64,USD,102.25058032920417,5.752269331592731,15.1105585,12.1087475,3.8350463,1.2,5.4098887787033565,0.049429999999999995,17,Technology,-54.571257842844346,267.76,121.5001
ILMN,"Illumina, Inc.",118.54,USD,99.64472042275455,15.315393381031779,21.75046,20.3366,6.6606727,0,5.215537648961005,0.90892,19,Healthcare,-23.78319295312801,155.53,68.7
DUOL,"Duolingo, Inc.",113.415,USD,95.33664557741443,4.407160896298124,14.284005,14.33606,3.9994006,0,5.181576819745252,0.07443,17,Technology,-79.18723505771383,544.93,112.41
KBR,"KBR, Inc.",42.51,USD,35.73390471715282,4.604014399477483,13.326018,10.46436,3.6872232,1.51,5.155596890191223,1.94146,9,Industrials,-25.13208876364918,56.78,39.52
AMT,American Tower Corporation (RE,178.145,USD,149.74868162402234,70.11803969060878,28.411484,25.753195,21.104134,3.81,5.093177809038668,4.180899999999999,20,Real Estate,-23.97687022575001,234.33,166.88
INGR,Ingredion Incorporated,118.445,USD,99.56486342562141,6.325369463440837,10.594364,9.992525,1.7459205,2.76,5.036660552463753,0.41609,6,Consumer Defensive,-16.45859782762026,141.78,102.31
EXLS,"ExlService Holdings, Inc.",31.025,USD,26.079614063741857,4.2122006663435965,20.962837,14.147545,5.176009,0,5.022634993572598,0.45835000000000004,7,Technology,-40.416746687151914,52.07,29.97
